_group,_name,_namespace,_qualName,_dc:relation,_dc:description,_comments,_examples,_required
ResourceRelationship,resourceRelationshipID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/resourceRelationshipID,https://dwc.tdwg.org/terms/#dwc:resourceRelationshipID,"An identifier for an instance of relationship between one resource (the subject) and another (dwc:relatedResource, the object).",,`04b16710-b09c-11e8-96f8-529269fb1459`,false
ResourceRelationship,resourceID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/resourceID,https://dwc.tdwg.org/terms/#dwc:resourceID,An identifier for the resource that is the subject of the relationship.,,`f809b9e0-b09b-11e8-96f8-529269fb1459`,true
ResourceRelationship,relationshipOfResourceID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipOfResourceID,https://dwc.tdwg.org/terms/#dwc:relationshipOfResourceID,An identifier for the relationship type (predicate) that connects the subject identified by dwc:resourceID to its object identified by dwc:relatedResourceID.,"Recommended best practice is to use the identifiers of the terms in a controlled vocabulary, such as the OBO Relation Ontology.",`http://purl.obolibrary.org/obo/RO_0002456` (for the relation `pollinated by`); `http://purl.obolibrary.org/obo/RO_0002455` (for the relation `pollinates`); `https://www.inaturalist.org/observation_fields/879` (for the relation `eaten by`),false
ResourceRelationship,relatedResourceID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relatedResourceID,https://dwc.tdwg.org/terms/#dwc:relatedResourceID,"An identifier for a related resource (the object, rather than the subject of the relationship).",,`dc609808-b09b-11e8-96f8-529269fb1459`,true
ResourceRelationship,relationshipOfResource,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipOfResource,https://dwc.tdwg.org/terms/#dwc:relationshipOfResource,The relationship of the subject (identified by dwc:resourceID) to the object (identified by dwc:relatedResourceID).,Recommended best practice is to use a controlled vocabulary.,`same as`; `duplicate of`; `mother of`; `offspring of`; `sibling of`; `parasite of`; `host of`; `valid synonym of`; `located within`; `pollinator of members of taxon`; `pollinated specific plant`; `pollinated by members of taxon`; `on slab with`,false
ResourceRelationship,relationshipAccordingTo,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo,https://dwc.tdwg.org/terms/#dwc:relationshipAccordingTo,"The source (person, organization, publication, reference) establishing the relationship between the two resources.",,`Julie Woodruff`,false
ResourceRelationship,relationshipEstablishedDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate,https://dwc.tdwg.org/terms/#dwc:relationshipEstablishedDate,The date-time on which the relationship between the two resources was established.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007),false
ResourceRelationship,relationshipRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/relationshipRemarks,https://dwc.tdwg.org/terms/#dwc:relationshipRemarks,Comments or notes about the relationship between the two resources.,,`mother and offspring collected from the same nest`; `pollinator captured in the act`,false
