_name,_namespace,_qualName,_dc:description,_type,_examples,_dc:relation,_group,_required
measurementTraitID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitID,Persistent identifier for a trait descriptor used to identify the description of the measurement method. This could be the persistent URL to an external ontology where the trait term is declared.,string,"URI, DOI, LSID or similar",http://terms.tdwg.org/wiki/germplasm:measurementTraitID,MeasurementTrait,false
measurementTraitIdentifier,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitIdentifier,Local identifier for a trait descriptor used to identify the description of the measurement method. This could be the persistent URL to an external ontology where the trait term is declared.,string,"STEMRUSTAD, BYDV, PLANTHT, AWNCOLOR",http://terms.tdwg.org/wiki/germplasm:measurementTraitIdentifier,MeasurementTrait,false
measurementTraitName,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitName,English name used to identify the trait measurement method.,string,stem rust susceptibility; powdery mildew susceptibility; plant height; ear density,http://terms.tdwg.org/wiki/germplasm:measurementTraitName,MeasurementTrait,false
measurementTraitCategory,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitCategory,Classification type for the trait descriptor.,string,agrobotanical; morphological; chemical; phenological; molecular biology; disease susceptibility/-resistance; tolerance (abiotic); utilization,http://terms.tdwg.org/wiki/germplasm:measurementTraitCategory,MeasurementTrait,false
measurementTraitScale,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitScale,Measurement scale used to score the measurement values.,string,absolute; interval; nominal; ordinal; ratio; relative,http://terms.tdwg.org/wiki/germplasm:measurementTraitScale,MeasurementTrait,false
measurementTraitSource,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitSource,Reference to a standard Germplasm Descriptor. For example the UPOV descriptor or the Bioversity Crop Descriptor identifier.,string,UPOV TG/198/1 (april 2003),http://terms.tdwg.org/wiki/germplasm:measurementTraitSource,MeasurementTrait,false
measurementTraitRemarks,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitRemarks,Remarks related to the trait measurement method.,string,inflorescences after cutting; measured three days after heading date,http://terms.tdwg.org/wiki/germplasm:measurementTraitRemarks,MeasurementTrait,false
measurementType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementType,"The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.",string,"tail length, temperature, trap line length, survey area, trap type",http://terms.tdwg.org/wiki/dwc:measurementType,MeasurementTrait,false
measurementMethod,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementMethod,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.",string,"minimum convex polygon around burrow entrances (for a home range area), barometric altimeter",http://terms.tdwg.org/wiki/dwc:measurementMethod,MeasurementTrait,false
