_name,_namespace,_qualName
GermplasmTraitClass,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmTraitClass
GermplasmTraitScale,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmTraitScale
GermplasmTraitSource,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmTraitSource
GermplasmTraitRemarks,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmTraitRemarks
GermplasmExperimentGroup,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmExperimentGroup
GermplasmExperimentID,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmExperimentID
GermplasmExperimentIdentifier,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmExperimentIdentifier
GermplasmExperimentRemarks,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmExperimentRemarks
GermplasmExperimentYear,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmExperimentYear
GermplasmExperimentReport,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmExperimentReport
